Latitude,Longitude,Ellps Height (m),Geoid Height (m),Ortho Height (m)
20.893669,-156.436218,0,15.85,-15.85
20.893541,-156.436005,0,15.85,-15.85
20.893456,-156.435776,0,15.85,-15.85
20.89349,-156.435562,0,15.85,-15.85
20.893272,-156.435486,0,15.85,-15.85
20.893055,-156.43541,0,15.85,-15.85
20.892841,-156.435364,0,15.85,-15.85
20.892632,-156.43541,0,15.85,-15.85
20.892426,-156.435516,0,15.86,-15.86
20.892214,-156.435669,0,15.86,-15.86
20.892002,-156.435822,0,15.86,-15.86
20.891785,-156.435974,0,15.86,-15.86
20.891567,-156.436157,0,15.87,-15.87
20.891365,-156.436295,0,15.87,-15.87
20.891155,-156.436462,0,15.87,-15.87
20.890934,-156.43663,0,15.88,-15.88
20.890713,-156.436783,0,15.88,-15.88
20.89048,-156.436966,0,15.88,-15.88
20.89027,-156.437103,0,15.88,-15.88
20.890049,-156.43721,0,15.89,-15.89
20.889839,-156.437088,0,15.89,-15.89
20.889656,-156.436859,0,15.89,-15.89
20.889513,-156.43663,0,15.89,-15.89
20.889362,-156.436417,0,15.89,-15.89
20.889421,-156.436203,0,15.89,-15.89
20.889641,-156.436005,0,15.88,-15.88
20.889933,-156.435776,0,15.88,-15.88
20.890327,-156.435471,0,15.87,-15.87
20.890678,-156.435226,0,15.87,-15.87
20.891201,-156.43483,0,15.86,-15.86
20.891609,-156.434525,0,15.86,-15.86
20.892027,-156.434219,0,15.85,-15.85
20.8927,-156.433731,0,15.84,-15.84
20.894926,-156.432022,0,15.81,-15.81
20.897919,-156.429871,0,15.77,-15.77
20.901302,-156.427292,0,15.73,-15.73
20.905518,-156.424271,30.48,15.67,14.81
20.909683,-156.421448,114.3,15.61,98.69
20.913778,-156.418991,175.26,15.56,159.7
20.91634,-156.417648,220.98,15.52,205.46
20.918518,-156.416672,251.46,15.52,235.94
20.921173,-156.415634,289.56,15.48,274.08
20.923695,-156.414902,320.04,15.45,304.59
20.926441,-156.4142,358.14,15.41,342.73
20.929281,-156.413696,381,15.37,365.63
20.932022,-156.413284,403.86,15.34,388.52
20.934952,-156.41304,419.1,15.3,403.8
20.937799,-156.412857,434.34,15.27,419.07
20.94104,-156.412643,449.58,15.23,434.35
20.944153,-156.412506,464.82,15.19,449.63
20.947449,-156.412399,480.06,15.14,464.92
20.95023,-156.412308,495.3,15.11,480.19
20.953535,-156.412247,510.54,15.06,495.48
20.957062,-156.412155,533.4,15.02,518.38
20.960564,-156.412109,556.26,14.97,541.29
20.967175,-156.411957,609.6,14.88,594.72
20.974228,-156.411819,662.94,14.79,648.15
20.981415,-156.411667,708.66,14.69,693.97
20.989985,-156.411362,769.62,14.57,755.05
20.997015,-156.411057,853.44,14.48,838.96
21.004509,-156.410706,929.64,14.4,915.24
21.012634,-156.410248,1021.08,14.29,1006.79
21.020325,-156.409805,1112.52,14.19,1098.33
21.027191,-156.409409,1196.34,14.09,1182.25
21.035202,-156.408859,1272.54,13.98,1258.56
21.043427,-156.408234,1356.36,13.86,1342.5
21.05176,-156.407516,1440.18,13.74,1426.44
21.059647,-156.406906,1524,13.63,1510.37
21.074524,-156.405609,1691.64,13.4,1678.24
21.091141,-156.404068,1828.8,13.13,1815.67
21.107437,-156.402542,2004.06,12.86,1991.2
21.124008,-156.400864,2164.08,12.57,2151.51
21.140533,-156.398727,2293.62,12.26,2281.36
21.156456,-156.395004,2461.26,11.94,2449.32
21.160273,-156.393845,2491.74,11.85,2479.89
21.163376,-156.392883,2514.6,11.78,2502.82
21.16828,-156.391342,2552.7,11.67,2541.03
21.17189,-156.390182,2590.8,11.59,2579.21
21.175821,-156.388855,2628.9,11.5,2617.4
21.183689,-156.386215,2705.1,11.31,2693.79
21.200043,-156.380692,2872.74,10.91,2861.83
21.215103,-156.375854,3009.9,10.52,2999.38
21.23229,-156.37059,3131.82,10.05,3121.77
21.248978,-156.365463,3200.4,9.56,3190.84
21.266506,-156.360062,3268.98,8.98,3260
21.284615,-156.354477,3322.32,8.37,3313.95
21.301838,-156.349182,3390.9,7.76,3383.14
21.320847,-156.343338,3451.86,7.08,3444.78
21.341314,-156.337021,3581.4,6.35,3575.05
21.361404,-156.330811,3726.18,5.63,3720.55
21.410706,-156.315521,4053.84,4.03,4049.81
21.463074,-156.29924,4290.06,2.67,4287.39
21.520262,-156.28154,4549.14,1.58,4547.56
21.579569,-156.263168,4815.84,0.81,4815.03
21.633911,-156.246262,5074.92,0.3,5074.62
21.688843,-156.229126,5311.14,-0.06,5311.2
21.743866,-156.21196,5494.02,-0.31,5494.33
21.858603,-156.176193,5890.26,-0.55,5890.81
21.97435,-156.140091,6240.78,-0.43,6241.21
22.091721,-156.104492,6591.3,-0.05,6591.35
22.211935,-156.066437,6964.68,0.39,6964.29
22.332319,-156.028091,7299.96,0.91,7299.05
22.464947,-155.986282,7703.82,1.4,7702.42
22.592422,-155.946182,8054.34,1.79,8052.55
22.722427,-155.905182,8404.86,2.12,8402.74
22.851471,-155.864334,8732.52,2.38,8730.14
22.982002,-155.822952,9029.7,2.55,9027.15
23.118942,-155.779434,9433.56,2.81,9430.75
23.25412,-155.73645,9829.8,2.77,9827.03
23.38398,-155.694733,10134.6,2.79,10131.81
23.551289,-155.641495,10462.26,2.6,10459.66
23.71701,-155.588425,10668,2.29,10665.71
23.842346,-155.547592,10668,2.05,10665.95
23.9832,-155.502121,10668,1.71,10666.29
24.112473,-155.460709,10668,1.44,10666.56
24.242157,-155.4189,10668,1.1,10666.9
24.372145,-155.37674,10668,0.72,10667.28
24.460876,-155.347794,10668,0.45,10667.55
24.515259,-155.330154,10668,0.28,10667.72
24.650026,-155.281113,10668,-0.16,10668.16
24.756496,-155.230682,10668,-0.56,10668.56
24.863079,-155.161011,10668,-1.07,10669.07
25.038254,-155.037186,10668,-1.92,10669.92
25.23436,-154.911102,10668,-2.79,10670.79
25.341036,-154.825684,10668,-3.28,10671.28
25.998388,-154.353348,10668,-5.94,10673.94
27.081184,-153.554672,10668,-8.97,10676.97
28.160414,-152.727203,10668,-11.01,10679.01
29.252777,-151.883499,10668,-12.94,10680.94
30.219507,-151.118301,11277.6,-14.56,11292.16
30.305696,-151.038116,11277.6,-14.67,11292.27
31.249434,-149.956894,11277.6,-16.78,11294.38
32.172394,-148.841095,11277.6,-20.14,11297.74
33.09724,-147.694901,11277.6,-22.79,11300.39
34.03508,-146.503952,11277.6,-24.44,11302.04
34.94759,-145.31012,11277.6,-26.31,11303.91
35.004589,-145.240067,11277.6,-26.4,11304
35.824635,-144.129379,11277.6,-28.46,11306.06
36.655186,-142.951508,11277.6,-30.38,11307.98
37.485031,-141.738785,11277.6,-31.51,11309.11
39.803783,-138.11734,11277.6,-33.82,11311.42
39.825115,-138.085541,11277.6,-33.75,11311.35
40.77491,-137.149582,11277.6,-31.44,11309.04
41.758778,-136.242462,11277.6,-30.7,11308.3
42.73772,-135.283798,11277.6,-30.23,11307.83
43.013634,-134.997513,11277.6,-30.09,11307.69
43.587357,-134.152618,11277.6,-29.56,11307.16
44.357094,-132.873657,11277.6,-28.65,11306.25
45.137424,-131.541092,11277.6,-27.12,11304.72
45.902481,-130.189438,11277.6,-24.62,11302.22
46.004955,-130.000305,11277.6,-24.38,11301.98
51.905823,-126.388832,10972.8,-11.92,10984.72
46.862183,-128.831039,11277.6,-23.74,11301.34
46.997726,-128.641525,11277.6,-23.59,11301.19
47.094772,-128.505768,11277.6,-23.5,11301.1
47.134735,-128.449677,11277.6,-23.45,11301.05
47.229218,-128.316742,11277.6,-23.36,11300.96
47.36853,-128.119034,11277.6,-23.16,11300.76
47.385941,-128.094101,11277.6,-23.13,11300.73
47.52816,-127.889664,11285.22,-22.87,11308.09
47.545895,-127.86438,11277.6,-22.84,11300.44
47.683914,-127.65873,11277.6,-22.64,11300.24
47.769516,-127.503136,11277.6,-22.6,11300.2
47.855164,-127.348297,11277.6,-22.66,11300.26
47.940216,-127.193253,11277.6,-22.73,11300.33
48.02449,-127.03862,11277.6,-22.82,11300.42
48.110992,-126.878357,11277.6,-22.92,11300.52
48.194321,-126.721802,11277.6,-22.92,11300.52
48.282761,-126.556587,11277.6,-22.61,11300.21
48.307163,-126.519569,11285.22,-22.48,11307.7
48.311646,-126.514542,11277.6,-22.46,11300.06
48.318195,-126.5075,11277.6,-22.43,11300.03
48.323959,-126.501579,11277.6,-22.4,11300
48.329834,-126.495499,11277.6,-22.37,11299.97
48.335678,-126.48954,11277.6,-22.34,11299.94
48.34124,-126.483864,11277.6,-22.31,11299.91
48.347351,-126.477638,11277.6,-22.28,11299.88
48.353119,-126.471794,11277.6,-22.25,11299.85
48.470608,-126.352745,11193.78,-21.64,11215.42
48.595833,-126.241943,10530.84,-21.11,10551.95
48.725807,-126.152534,9898.38,-20.67,9919.05
48.851761,-126.077133,9471.66,-20.26,9491.92
48.969543,-126.012405,8983.98,-19.62,9003.6
48.992432,-125.99649,8877.3,-19.43,8896.73
48.997375,-125.991631,8854.44,-19.38,8873.82
49.002888,-125.985504,8823.96,-19.33,8843.29
49.007637,-125.9795,8801.1,-19.27,8820.37
49.011406,-125.974083,8778.24,-19.23,8797.47
49.01569,-125.967216,8740.14,-19.18,8759.32
49.019554,-125.960274,8717.28,-19.13,8736.41
49.023232,-125.952827,8694.42,-19.07,8713.49
49.026398,-125.945679,8679.18,-19.02,8698.2
49.029236,-125.938461,8663.94,-18.98,8682.92
49.032448,-125.929344,8648.7,-18.92,8667.62
49.034592,-125.922264,8633.46,-18.88,8652.34
49.036636,-125.91481,8618.22,-18.84,8637.06
49.038895,-125.90522,8602.98,-18.79,8621.77
49.040596,-125.896812,8587.74,-18.75,8606.49
49.042007,-125.888107,8572.5,-18.71,8591.21
49.042923,-125.881134,8557.26,-18.68,8575.94
49.043884,-125.872406,8542.02,-18.64,8560.66
49.044552,-125.863495,8526.78,-18.61,8545.39
49.044971,-125.853447,8511.54,-18.57,8530.11
49.045166,-125.845146,8496.3,-18.54,8514.84
49.045395,-125.835785,8473.44,-18.51,8491.95
49.045624,-125.82663,8458.2,-18.48,8476.68
49.045807,-125.818954,8442.96,-18.46,8461.42
49.046127,-125.809021,8427.72,-18.43,8446.15
49.046181,-125.805885,8420.1,-18.42,8438.52
49.050476,-125.618729,8100.06,-17.78,8117.84
49.053768,-125.440231,7505.7,-17.09,7522.79
49.056793,-125.275223,6858,-16.54,6874.54
49.059681,-125.108833,6187.44,-16.3,6203.74
49.061821,-124.949608,5524.5,-16.12,5540.62
49.066757,-124.795288,5151.12,-16.09,5167.21
49.067917,-124.788841,5128.26,-16.08,5144.34
49.069412,-124.7817,5113.02,-16.07,5129.09
49.071133,-124.77433,5090.16,-16.05,5106.21
49.071991,-124.771095,5074.92,-16.05,5090.97
49.073822,-124.764542,5059.68,-16.04,5075.72
49.075928,-124.7575,5052.06,-16.02,5068.08
49.077885,-124.750984,5036.82,-16.01,5052.83
49.079727,-124.744614,5013.96,-16,5029.96
49.099182,-124.676514,4777.74,-15.82,4793.56
49.118988,-124.609467,4541.52,-15.65,4557.17
49.13681,-124.548691,4328.16,-15.59,4343.75
49.155022,-124.486229,4114.8,-15.67,4130.47
49.174526,-124.419662,3878.58,-15.88,3894.46
49.193798,-124.3536,3649.98,-16.15,3666.13
49.200165,-124.331779,3573.78,-16.24,3590.02
49.207672,-124.305656,3451.86,-16.36,3468.22
49.212479,-124.28157,3345.18,-16.46,3361.64
49.213165,-124.276428,3329.94,-16.48,3346.42
49.213863,-124.270546,3314.7,-16.5,3331.2
49.214466,-124.263756,3291.84,-16.52,3308.36
49.21484,-124.258049,3284.22,-16.54,3300.76
49.215118,-124.252625,3268.98,-16.56,3285.54
49.215317,-124.246353,3253.74,-16.57,3270.31
49.215446,-124.240555,3238.5,-16.59,3255.09
49.215546,-124.234596,3230.88,-16.61,3247.49
49.215679,-124.229492,3215.64,-16.62,3232.26
49.21619,-124.205864,3147.06,-16.69,3163.75
49.216747,-124.182655,3086.1,-16.76,3102.86
49.217285,-124.159378,3017.52,-16.83,3034.35
49.217773,-124.13546,2956.56,-16.9,2973.46
49.218246,-124.111214,2887.98,-16.98,2904.96
49.218658,-124.088264,2827.02,-17.06,2844.08
49.219124,-124.064125,2758.44,-17.15,2775.59
49.219589,-124.040779,2697.48,-17.26,2714.74
49.2201,-124.016777,2628.9,-17.37,2646.27
49.220657,-123.994011,2567.94,-17.48,2585.42
49.221218,-123.97081,2506.98,-17.6,2524.58
49.221775,-123.948402,2446.02,-17.72,2463.74
49.222286,-123.926285,2385.06,-17.83,2402.89
49.222801,-123.90229,2324.1,-17.93,2342.03
49.223236,-123.879791,2255.52,-18.02,2273.54
49.223648,-123.856979,2194.56,-18.11,2212.67
49.224014,-123.83493,2133.6,-18.19,2151.79
49.22438,-123.81282,2080.26,-18.27,2098.53
49.224747,-123.791061,2019.3,-18.34,2037.64
49.225174,-123.768143,1958.34,-18.41,1976.75
49.225594,-123.746605,1897.38,-18.49,1915.87
49.226059,-123.723618,1836.42,-18.58,1855
49.226532,-123.702179,1775.46,-18.66,1794.12
49.226898,-123.683098,1729.74,-18.74,1748.48
49.227402,-123.658028,1661.16,-18.83,1679.99
49.227779,-123.639778,1607.82,-18.89,1626.71
49.228134,-123.618515,1546.86,-18.96,1565.82
49.2285,-123.595627,1485.9,-19.03,1504.93
49.228714,-123.581589,1447.8,-19.05,1466.85
49.228867,-123.573235,1424.94,-19.07,1444.01
49.228958,-123.56147,1394.46,-19.09,1413.55
49.228619,-123.551666,1356.36,-19.11,1375.47
49.228245,-123.546249,1341.12,-19.11,1360.23
49.227768,-123.541473,1318.26,-19.12,1337.38
49.227264,-123.5364,1295.4,-19.13,1314.53
49.226665,-123.531212,1280.16,-19.14,1299.3
49.226105,-123.526367,1257.3,-19.15,1276.45
49.225407,-123.520592,1234.44,-19.15,1253.59
49.224895,-123.516396,1211.58,-19.16,1230.74
49.224243,-123.511116,1188.72,-19.17,1207.89
49.223602,-123.50605,1173.48,-19.18,1192.66
49.222382,-123.495728,1127.76,-19.19,1146.95
49.221313,-123.486328,1097.28,-19.2,1116.48
49.220352,-123.477455,1059.18,-19.21,1078.39
49.219299,-123.468018,1028.7,-19.22,1047.92
49.218384,-123.459709,998.22,-19.23,1017.45
49.217468,-123.451256,967.74,-19.24,986.98
49.216377,-123.441658,929.64,-19.26,948.9
49.2155,-123.433296,899.16,-19.27,918.43
49.214653,-123.425179,861.06,-19.28,880.34
49.213676,-123.416435,830.58,-19.29,849.87
49.212799,-123.408508,800.1,-19.31,819.41
49.211906,-123.400826,769.62,-19.32,788.94
49.210976,-123.392799,739.14,-19.33,758.47
49.210136,-123.385139,708.66,-19.35,728.01
49.209301,-123.377625,685.8,-19.36,705.16
49.208416,-123.369888,655.32,-19.38,674.7
49.207626,-123.362732,624.84,-19.39,644.23
49.206802,-123.355476,594.36,-19.4,613.76
49.205612,-123.344917,556.26,-19.42,575.68
49.204834,-123.337875,525.78,-19.44,545.22
49.203964,-123.330338,495.3,-19.45,514.75
49.203186,-123.323296,472.44,-19.46,491.9
49.202457,-123.31662,449.58,-19.48,469.06
49.201527,-123.309105,419.1,-19.49,438.59
49.20076,-123.302444,388.62,-19.5,408.12
49.199753,-123.293434,358.14,-19.52,377.66
49.198975,-123.286392,335.28,-19.53,354.81
49.198334,-123.280266,304.8,-19.54,324.34
49.197617,-123.273758,274.32,-19.55,293.87
49.196869,-123.267448,251.46,-19.56,271.02
49.196182,-123.261528,236.22,-19.57,255.79
49.195522,-123.255829,213.36,-19.58,232.94
49.194809,-123.249557,190.5,-19.59,210.09
49.194122,-123.243851,160.02,-19.6,179.62
49.193436,-123.237724,137.16,-19.61,156.77
49.192822,-123.231911,121.92,-19.62,141.54
49.192123,-123.225906,99.06,-19.63,118.69
49.191467,-123.220047,76.2,-19.63,95.83
49.190781,-123.214279,53.34,-19.64,72.98
49.190094,-123.208359,30.48,-19.65,50.13
49.189423,-123.202057,7.62,-19.65,27.27
49.188766,-123.196175,0,-19.66,19.66
49.188126,-123.19075,0,-19.67,19.67
49.187653,-123.186409,0,-19.67,19.67
49.187328,-123.183426,0,-19.67,19.67
49.187096,-123.18132,0,-19.68,19.68
49.186901,-123.179626,0,-19.68,19.68
49.186768,-123.178169,0,-19.68,19.68
49.186741,-123.177673,0,-19.68,19.68
49.186741,-123.177429,0,-19.68,19.68
49.186745,-123.177193,0,-19.68,19.68
49.186752,-123.176918,0,-19.68,19.68
49.186775,-123.176666,0,-19.68,19.68
49.186802,-123.176323,0,-19.68,19.68
49.18689,-123.175804,0,-19.68,19.68
49.186932,-123.175568,0,-19.68,19.68
49.186977,-123.175331,0,-19.68,19.68
49.187027,-123.175087,0,-19.68,19.68
49.187199,-123.174355,0,-19.68,19.68
49.187294,-123.173973,0,-19.68,19.68
49.187359,-123.173714,0,-19.68,19.68
49.187439,-123.173355,0,-19.68,19.68
49.1875,-123.173126,0,-19.68,19.68
49.187622,-123.17292,0,-19.68,19.68
49.187828,-123.172775,0,-19.68,19.68
49.188091,-123.172852,0,-19.67,19.67
49.188225,-123.173111,0,-19.67,19.67
49.188282,-123.173347,0,-19.67,19.67
49.188309,-123.173584,0,-19.67,19.67
49.188343,-123.173836,0,-19.67,19.67
49.188377,-123.174133,0,-19.67,19.67
49.188408,-123.174431,0,-19.67,19.67
49.188446,-123.174698,0,-19.67,19.67
49.188515,-123.175346,0,-19.67,19.67
49.188606,-123.176102,0,-19.67,19.67
49.18869,-123.176811,0,-19.67,19.67
49.188778,-123.17762,0,-19.67,19.67
49.188862,-123.178383,0,-19.67,19.67
49.188961,-123.179291,0,-19.67,19.67
49.18906,-123.180138,0,-19.67,19.67
49.189167,-123.181061,0,-19.67,19.67
49.189281,-123.182076,0,-19.67,19.67
49.189388,-123.183014,0,-19.66,19.66
49.189476,-123.1838,0,-19.66,19.66
49.189522,-123.184067,0,-19.66,19.66
49.189587,-123.184296,0,-19.66,19.66
49.189678,-123.184532,0,-19.66,19.66
49.189854,-123.184799,0,-19.66,19.66
49.190048,-123.185028,0,-19.66,19.66
49.190273,-123.185287,0,-19.66,19.66
49.190479,-123.185562,0,-19.66,19.66
49.190701,-123.185822,0,-19.66,19.66
49.190933,-123.186104,0,-19.66,19.66
49.191387,-123.186646,0,-19.65,19.65
49.191936,-123.187202,0,-19.65,19.65
49.192154,-123.187271,0,-19.65,19.65
49.19239,-123.187241,0,-19.65,19.65
49.192657,-123.187164,0,-19.65,19.65
49.192898,-123.187111,0,-19.65,19.65
49.193161,-123.187042,0,-19.65,19.65
49.193462,-123.186951,0,-19.64,19.64
49.19368,-123.186913,0,-19.64,19.64
49.193974,-123.187019,0,-19.64,19.64
49.194248,-123.187195,0,-19.64,19.64
49.194477,-123.187286,0,-19.64,19.64
49.194893,-123.187279,0,-19.64,19.64
49.195141,-123.187218,0,-19.64,19.64
49.195404,-123.187141,0,-19.64,19.64
49.195702,-123.187057,0,-19.63,19.63
49.195938,-123.187004,0,-19.63,19.63
49.196323,-123.186882,0,-19.63,19.63
49.19656,-123.186775,0,-19.63,19.63
49.1968,-123.186623,0,-19.63,19.63
49.197075,-123.186424,0,-19.63,19.63
49.197323,-123.186211,0,-19.63,19.63
49.197582,-123.185989,0,-19.63,19.63
49.198174,-123.185715,0,-19.62,19.62
49.198719,-123.185562,0,-19.62,19.62
49.19894,-123.185509,0,-19.62,19.62
49.199173,-123.185432,0,-19.62,19.62
49.199467,-123.185364,0,-19.62,19.62
49.19981,-123.18528,0,-19.62,19.62
49.200188,-123.185165,0,-19.61,19.61
49.200584,-123.185074,0,-19.61,19.61
49.200977,-123.184891,0,-19.61,19.61
49.201115,-123.184647,0,-19.61,19.61
49.201141,-123.184387,0,-19.61,19.61
49.201118,-123.184074,0,-19.61,19.61
49.201084,-123.183678,0,-19.61,19.61
49.201057,-123.183426,0,-19.61,19.61
49.201027,-123.183174,0,-19.61,19.61
49.200954,-123.182594,0,-19.61,19.61
49.200932,-123.182373,0,-19.61,19.61
49.200909,-123.182106,0,-19.61,19.61
49.200874,-123.181808,0,-19.61,19.61
49.20084,-123.181511,0,-19.61,19.61
49.200745,-123.180717,0,-19.61,19.61
49.200657,-123.179893,0,-19.61,19.61
49.200546,-123.178986,0,-19.61,19.61
49.200439,-123.17804,0,-19.62,19.62
49.200329,-123.177063,0,-19.62,19.62
49.200211,-123.176033,0,-19.62,19.62
49.200047,-123.174606,0,-19.62,19.62
49.199924,-123.173538,0,-19.62,19.62
49.199825,-123.172676,0,-19.62,19.62
49.199707,-123.171738,0,-19.62,19.62
49.199581,-123.171478,0,-19.62,19.62
49.199295,-123.171371,0,-19.62,19.62
49.198814,-123.171738,0,-19.63,19.63
49.198593,-123.171829,0,-19.63,19.63
49.198372,-123.17186,0,-19.63,19.63
49.198093,-123.171883,0,-19.63,19.63
49.19783,-123.171898,0,-19.63,19.63
49.197624,-123.171898,0,-19.63,19.63
49.197418,-123.171898,0,-19.63,19.63
49.197189,-123.171898,0,-19.63,19.63
49.196903,-123.171951,0,-19.63,19.63
49.196686,-123.172096,0,-19.64,19.64
49.196548,-123.172318,0,-19.64,19.64
49.196487,-123.172729,0,-19.64,19.64
49.196503,-123.172974,0,-19.64,19.64
49.19651,-123.173203,0,-19.64,19.64